Category,Trip,Date,Album,Link
marine,,2023 / 01 / 28,MSGSO Beach Clean-up,https://photos.app.goo.gl/As1LdjyZhgzWLzYv5
marine,,2022 / 12 / 15,Laguna Madre Kayaking,https://photos.app.goo.gl/xppfrvh1FcoCWXBS6
marine,,2022 / 12 / 10,Corpus Christi Yacht Club: Barry Brown Frostbite Regatta,https://photos.app.goo.gl/njoCDA8uyvWAKCSb6
marine,,2022 / 10 / 22,CBBEP Rookery Island Cleanup,https://photos.app.goo.gl/CZtWdjQ32apYium6A
marine,,2022 / 09 / 26,Islander Sailing Club  (420s),https://photos.app.goo.gl/RJkYfhwVE6pbRYEXA
marine,,2022 / 09 / 16,Islander Sailing Club (420),https://photos.app.goo.gl/pKG5kmYwLGuBUPBK6
marine,,2022 / 09 / 09,Corpus Christi Yacht Club: Bill Best Regatta,https://photos.app.goo.gl/vQHhzUmVR4itdq19A
marine,,2022 / 09 / 09,Islander Sailing Club (IC24),https://photos.app.goo.gl/WvPKu6p6LQ3NtprP9
marine,"Monterey, CA (NREIP 2022)",2022 / 09 / 07,Moss Landing Kayaking,https://photos.app.goo.gl/ojKUUtLPAVU7q51R7
marine,,2022 / 05 / 06,Islander Sailing Club (IC24),https://photos.app.goo.gl/mvo5LrKQST3RZUZe8
marine,,2022 / 02 / 28,Islander Sailing Club (IC),https://photos.app.goo.gl/svV1YRJatPcpSKV36
marine,,2022 / 02 / 18,Islander Sailing Club (420),https://photos.app.goo.gl/4E448WSmSUfe9a1J9
marine,,2022 / 02 / 07,Islander Sailing Club (IC),https://photos.app.goo.gl/4m7k3P3PesvU2nvu6
marine,,2021 / 10 / 04,Islander Sailing Club (420),https://photos.app.goo.gl/XAs1Ww3LEXhCHk64A
marine,,2021 / 09 / 17,Islander Sailing Club (IC),https://photos.app.goo.gl/2rByDTP4xjyYpN9M9
travel,"Denver, CO (AMS 2023)",2023 / 01 / 08,Red Rocks Park & Ampitheater,https://photos.app.goo.gl/sjeni7Q1K3BjcQUKA
travel,"Denver, CO (AMS 2023)",2023 / 01 / 06,Denver Botanic Garden,https://photos.app.goo.gl/ZixyFpLxjHhBLKj29
travel,"Denver, CO (AMS 2023)",2023 / 01 / 06,Cherry Creek Trail,https://photos.app.goo.gl/FER7CVj7Zs3rxNVR9
travel,"Denver, CO (AMS 2023)",2023 / 01 / 05,CIRA and Horsetooth Reservoir,https://photos.app.goo.gl/FLXe1hRGpSXqPAXC7
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 30,Fort Ord Dunes,https://photos.app.goo.gl/YduC3UFBgb5w4F4W9
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 23,Pinnacles National Park,https://photos.app.goo.gl/V7oz2hVceJtgfEwB8
travel,"Monterey, CA (NREIP 2022)",2023 / 07 / 17,San Francisco,https://photos.app.goo.gl/bkHXVFikMECskaWaA
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 16,San Francisco,https://photos.app.goo.gl/RAp7KkxFok7ricBn9
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 09,Moss Landing Kayaking,https://photos.app.goo.gl/ojKUUtLPAVU7q51R7
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 07,Jack's Peak,https://photos.app.goo.gl/LEWftpco64dJ1qce7
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 07,Asilomar State Beach,https://photos.app.goo.gl/mSMNY2Z7f3aN38L17
travel,"Monterey, CA (NREIP 2022)",2022 / 07 / 02,Andrew Molera,https://photos.app.goo.gl/M3z2Z9BwwqcomUqq9
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 25,San Francisco,https://photos.app.goo.gl/QUmFq1zeZyvJTBjh8
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 21,Mission Trail,https://photos.app.goo.gl/5Mn6pgtQ4yRkYodS6
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 19,Garrapata State Park,https://photos.app.goo.gl/dLHRKj74bwS9MJTg6
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 19,Pfeiffer Beach,https://photos.app.goo.gl/VLMgaMS4BSvqfxpX7
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 03,Asilomar State Beach,https://photos.app.goo.gl/VcBPPzXj48uGa2Dg7
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 02,Garland Ranch,https://photos.app.goo.gl/dwJS4U9h1D45Jrut5
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 01,Point Lobos,https://photos.app.goo.gl/KksmfWpdTPgQn1Yp8
travel,"Monterey, CA (NREIP 2022)",2022 / 06 / 01,Big Sur Drive,https://photos.app.goo.gl/bTMg5bzRyrh1RWJy9
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 30,Pacific Grove,https://photos.app.goo.gl/DBgsWEAY5yoDXDem6
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 28,Marina Dunes Preserve,https://photos.app.goo.gl/q3ZVsFofvzj3WroHA
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 27,Cooking at Carmel Beach,https://photos.app.goo.gl/5ikdDZhZHYXPLYe78
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 26,Monterey Bay Aquarium,https://photos.app.goo.gl/sKsjJS6TTUB3z6AP7
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 26,17-Mile Drive,https://photos.app.goo.gl/nuJHxeFz5ik3bV4w5
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 25,Carmel Beach,https://photos.app.goo.gl/9vbqzmUYBhj3Q8bu6
travel,"Monterey, CA (NREIP 2022)",2023 / 05 / 25,Cannery Row & Fisherman's Wharf,https://photos.app.goo.gl/2EWQ4vcAoBtVLezi8
travel,"Monterey, CA (NREIP 2022)",2022 / 05 / 24,Views from the hotel,https://photos.app.goo.gl/AnEWK4zBmki9cFPD6
travel,,2021 / 12 / 15,"Landa Park, New Braunfels, TX",https://photos.app.goo.gl/QDagcBWigxHbxqUW7
travel,,2021 / 11 / 05 – 06,"Lost Maples Backpacking, TX",https://photos.app.goo.gl/gE9611SjjL2kebYc6
travel,,2020 / 02 / 28,"Brazos Bend Camping, TX",https://photos.app.goo.gl/xR4nVWWe6N1TYgjL8
local,,2021 / 07 / 13 ,Joan & Scott Holt Paradise Pond,https://photos.app.goo.gl/1dohS9rUuYABq8oNA
local,,2021 / 01 / 30,South Texas Botanical Garden,https://photos.app.goo.gl/Q272gEkLQbXykixy7
local,,2021 / 01 / 04,Ghost Shrimp at Bob Hall Pier,https://photos.app.goo.gl/ML9w47adz9e1HVZMA
