Category,Title,Description,Links
training,ROS Python Tutorial,A short introduction to the Robot Operating System and how to program Python packages.,[Slides](https://github.com/ekrell/ros_python_workshop_presentation) | [Code](https://github.com/ekrell/ros_python_workshop)
training,HPC DNA Tutorial,How to work with DNA sequence data in a Linux cluster environment.,[Tutorial](https://github.com/ekrell/hpc-dna-tutorial)
training,Geospatial Plotting in Python,Introduction to plotting maps and other geospatial data in Python.,[Jupyter Notebook](https://github.com/ekrell/python-geo-plots)
training,Explainable AI: Intro and Challenges,"After a brief intro to XAI, we explore many of its pitfalls.",[Slides and Notebook](https://github.com/ekrell/xai-intro)
training,Linux for Researchers,A collection of helpful hints for researchers relying on Linux systems.,[Tutorial](https://github.com/ekrell/linux4research)
training,TAI4ES Summer School,"I led a session about XAI methods applied to explain FogNet, a 3D CNN for coastal fog prediction.",[Course materials](https://docs.google.com/document/d/1HVvBR_8DoHxRvUUYKL31LskK1tIjo2sByEEnTINyYEA/edit)
training,Mobile Robot Path Planning,A presentation on path planning techniques. ,[Slides](doc/path_planning_lecture.ppt)
training,Efficient Wireless Sensor Networks,A presentation on efficient algorithms for WSNs. ,[Slides](doc/efficient_wsn_lecture.ppt)
repositories,FogNet,A 3D CNN for coastal fog prediction.,[code](https://gridftp.tamucc.edu/fognet/)
repositories,SparkMet,A transformer-based architecture (and data processing tools) for geoscience models. ,[code](https://github.com/conrad-blucher-institute/SparkMET)
repositories,conch,Path planning for autonomous surface vehicles that uses water current forecasts for efficient routes.,[code](https://github.com/ekrell/conch)
repositories,whelk,Tools to pull data from ocean models (NECOFS & NGOFS) and store as rasters.,[code](https://github.com/ekrell/whelk)
repositories,PSO Path Planning,A simple PSO-based path planner in Matlab. Messy code. ,[code](https://github.com/ekrell/RobotPathPlanningPSO)
repositories,Dynamic Programming Path Planner,Implementation of dynammic programming mobile robot path planner from paper by Kwan S. Kwok and Brian J. Driessen ,[code](https://github.com/ekrell/dynamic-programming-path-planner)
repositories,fujin,An energy-efficient path planner based on game theory for surface vessels. Plans an optimal route based on water current forecasts.,[code](https://github.com/ekrell/fujin)
repositories,nir2watermap,Uses the NIR channel in aerial images to convert each pixel to water or land. ,[code](https://github.com/ekrell/nir2watermap)
repositories,EMILY USV configs,Configurations for an EMILY USV that has been modified for autonomous control using Pixhawk.,[code](https://github.com/ekrell/emily-usv)
cooking,Evan’s Asian Food Adventures,I really like Asian food. ,[Workbook](https://docs.google.com/spreadsheets/d/16e8qlFGzBlES_rVrJSoNqr7A9uvRbt4vxuWYtjOjYPA/edit?usp=sharing)
